01.06.2020 00:00;Bel_D21;Vwz_D21;Bel_D22;Vwz_D22;Bel_D81;Vwz_D81;Bel_TBS32;Vwz_TBS32;Bel_TBS35;Vwz_TBS35;Bel_TBS38;Vwz_TBS38;Bel_TBS41;Vwz_TBS41;Bel_TF32;Vwz_TF32;Bel_TF35;Vwz_TF35;Bel_TF38;Vwz_TF38;Bel_TF41;Vwz_TF41;Bel_V111;Vwz_V111;Bel_V112;Vwz_V112;Bel_V23;Vwz_V23;Bel_V24;Vwz_V24;Bel_V51;Vwz_V51;Bel_V82;Vwz_V82;Bel_VK1_Stoer;Vwz_VK1_Stoer;Bel_VK2_Stoer;Vwz_VK2_Stoer;Bel_VK3_Stoer;Vwz_VK3_Stoer;Bel_VK4_Stoer;Vwz_VK4_Stoer
01.06.2020 00:00;12;85800;5;66600;11;94800;2;1800;1;600;0;0;0;0;2;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 01:00;12;93600;9;80400;7;49800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 02:00;1;14400;4;56400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 03:00;1;12600;3;16200;2;27000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 04:00;1;12600;0;0;2;28200;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 05:00;2;16800;4;48000;2;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 06:00;2;90600;4;96600;3;85200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 07:00;6;232200;4;73800;9;30000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 08:00;5;189000;9;330600;6;80400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 09:00;15;349200;25;493800;19;203400;0;0;2;1200;0;0;1;600;0;0;7;4200;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 10:00;30;496800;35;755400;40;333600;0;0;1;600;0;0;5;4200;1;600;13;9000;0;0;8;5400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 11:00;21;360600;34;774600;70;520800;0;0;4;2400;1;1200;4;4200;1;600;29;27600;2;1200;14;10200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 12:00;30;495600;53;1117200;55;523200;2;1200;1;600;0;0;6;6600;2;1200;25;21600;1;600;7;6600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 13:00;32;682800;56;1200000;39;432000;3;1800;1;1800;1;600;3;5400;3;1800;19;14400;1;600;23;19800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 14:00;126;548400;68;1054800;57;402000;2;1800;7;6600;0;0;5;3600;6;6000;25;22800;1;600;24;20400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 15:00;46;784200;43;1001400;50;639600;2;3000;4;2400;0;0;4;3600;4;2400;19;16200;0;0;16;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 16:00;52;1024800;41;1141800;59;858000;1;1200;1;600;0;0;5;3600;5;4200;15;9600;2;1200;34;29400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 17:00;51;906000;55;889800;33;241800;4;2400;3;1800;1;600;6;10800;4;2400;16;11400;1;600;19;15000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 18:00;57;1189200;54;1434600;35;769200;5;5400;0;0;0;0;9;12000;9;8400;14;12600;0;0;34;31800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 19:00;58;786600;44;1084200;50;457200;2;1200;5;3000;4;5400;2;2400;1;600;13;10200;1;600;31;25800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 20:00;47;502200;33;364200;38;513000;1;600;0;0;2;2400;2;1800;2;1200;9;6600;2;1200;12;11400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 21:00;27;201600;17;117000;24;182400;1;600;4;2400;0;0;3;3000;5;3600;11;9600;3;2400;16;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 22:00;22;190800;20;185400;19;117000;1;600;1;600;0;0;2;1200;1;1800;2;1200;0;0;9;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01.06.2020 23:00;11;84600;18;135000;15;87000;0;0;0;0;1;600;0;0;0;0;3;1800;1;600;3;1800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 00:00;7;93000;3;45600;11;87000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 01:00;1;13800;3;28200;1;14400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 02:00;3;42600;4;40800;4;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 03:00;1;15000;1;12600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 04:00;1;13800;4;40200;1;13200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 05:00;9;78600;9;81000;5;53400;0;0;0;0;0;0;0;0;1;600;4;3000;0;0;4;3600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 06:00;30;533400;34;807600;33;404400;0;0;1;1800;0;0;1;2400;5;4800;7;4800;0;0;11;7200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 07:00;57;1068000;64;1258800;56;663000;1;600;2;1200;0;0;8;8400;4;2400;15;12000;2;1800;19;16800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 08:00;83;1546200;75;1443600;74;810600;1;600;3;1800;0;0;6;5400;3;2400;15;11400;0;0;23;18600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 09:00;80;1211400;97;1537200;50;770400;6;6000;1;600;3;2400;10;12600;9;8400;16;14400;1;600;28;25800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02.06.2020 10:00;84;1270800;72;1242000;78;519000;2;1200;1;600;0;0;5;4800;10;8400;15;11400;0;0;21;17400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
